争论,主题
集体主义使我们能够更有效地共同合作，不应该被反对。,我们应该反对集体主义。
集体主义和政府的干预导致人们在面临问题时责怪他人，而不是自己寻找解决方案。,我们应该反对集体主义。
集体主义吸引了我们更美好的本能，值得让人向着社会的进步努力。,我们应该反对集体主义。
作为一种哲学，集体主义在历史上被用来实施暴行，压制政治异见，比如在斯大林时期的苏联。,我们应该反对集体主义。
集体主义确保社会中最弱势的成员能够获得基本需求。,我们应该反对集体主义。
集体主义将人们团结起来解决他们社区中的问题,我们应该反对集体主义。
集体主义通过让每个人共同努力使事情变得更好来造福社会。,我们应该反对集体主义。
集体主义之所以有益于社会是因为如果每个人都得到帮助，那么一切都将是和谐的。,我们应该反对集体主义。
集体主义将人们团结在一起,我们应该反对集体主义。
集体主义可以实现比其他形式的社会结构更多的成就。,我们应该反对集体主义。
集体主义可以实现比个人单打独斗更多的事情。,我们应该反对集体主义。
集体主义可能是一种危险的政治意识形态。,我们应该反对集体主义。
集体主义可以被用来创造危险的政治观念。,我们应该反对集体主义。
集体主义在某些情况下是有用的，例如在一个群体中，每个人都有不同的优势和想法，因此在解决问题时更具优势。,我们应该反对集体主义。
集体主义可以洗脑，它可能剥夺一个人内在的价值观和信仰。,我们应该反对集体主义
集体主义甚至在事情被分成49%和51%时也可能造成多数暴政。,我们应该反对集体主义。
集体主义可以导致人们忽视重要问题，如果它不适用于某些群体。,我们应该反对集体主义。
集体主义可以摧毁个人主义和自我的感觉。,我们应该反对集体主义。
集体主义可以摧毁个人独特性，导致人们以不良方式被孤立。,我们应该反对集体主义
集体主义可能以一种不可逆转的方式侵蚀个人自由。  ,我们应该反对集体主义。
集体主义可以平衡社会中人们的待遇，有助于较贫困的人们获得生存帮助，因为他们可以获得与其他人相同的援助。,我们应该反对集体主义。
集体主义可以帮助在一个国家中灌输自豪感和爱国主义。,我们应该反对集体主义。
集体主义可以促进一个社会，在这个社会中每个人平等，没有人获取超出其应得份额的东西，每个人都有平等的教育、就业和医疗机会，给予所有成员安全感。,我们应该反对集体主义。
集体主义可以为公众利益提供有益的意识，个人差异被搁置，为了所有人的共同利益。,我们应该反对集体主义
集体主义导致一些人做的少却得到与那些付出较多相同的回报，这是不公平的。,我们应该反对集体主义。
集体主义导致镇压和不宽容。,我们应该反对集体主义。
集体主义选择一群人而不是另一群人，让被忽视的人群变得脆弱无助。,我们应该反对集体主义。
集体主义可能会导致一些人不愿为社会做贡献。,我们应该反对集体主义。
集体主义可能会让无辜者和罪有应得者混在一起。,我们应该反对集体主义。
集体主义可能会扼杀对一些目前正在因长期歧视而受到不平等对待的群体提供更多支持的合法需求。,我们应该反对集体主义。
集体主义会导致个人失去自尊和独立思考的能力，产生负面影响。,我们应该反对集体主义。
集体主义制造出对暴君有用的社会。,我们应该反对集体主义。
集体主义通过迫使个人顺应群体认为最好的方式来削弱个人权利。,我们应该反对集体主义。
集体主义否认个人表达自己、独立思考和发挥个人最佳水平的个人自由。,我们应该反对集体主义。 
集体主义否认了人们创新和努力工作以实现自身繁荣的动力。,我们应该反对集体主义。
集体主义忽视个人，注重群体，因此个人很容易为了群体的利益而受到忽视。,我们应该反对集体主义。
集体主义带来的弊大于利，因为孤立个体并不合适，个人应被视为重要个体而非群体的一部分。,我们应该反对集体主义。
集体主义不允许个人的思想被考虑。,我们应该反对集体主义。
集体主义不允许个人创业，而且抑制了企业家精神。,我们应该反对集体主义。
集体主义不允许人们发挥出最大潜力。,我们应该反对集体主义。
集体主义不允许个人权利，使个人在政府的监督下容易受到滥用，而政府则以优先考虑集体利益为名。,我们应该反对集体主义
集体主义不允许个人从事他们喜欢的职业，这会导致抑郁。,我们应该反对集体主义。
集体主义不允许一个人脱颖而出，这可能是负面的。,我们应该反对集体主义。
集体主义不能让人们充分发挥自己的潜力。,我们应该反对集体主义。
集体主义不鼓励个人的进步和创造力,我们应该反对集体主义。
集体主义不奖励个人的努力，这就剥夺了人们通过自己的奉献和意愿来改善生活的能力，最终是不公正的。,我们应该反对集体主义。
集体主义不允许个人意见并且打压自由思想,我们应该反对集体主义。
集体主义不允许人们为自己相信的事情独自站出来。,我们应该反对集体主义。
集体主义使社区能够共同努力，为了更大的利益而合作。,我们应该反对集体主义。
集体主义鼓励群体中的所有成员为社区的福祉做出贡献，从而提高每个人的生活水平，消除不同群体之间的不平等和敌意。,我们应该反对集体主义。
集体主义鼓励群体思维，扼杀个性，不利。,我们应该反对集体主义。
集体主义鼓励群体心态,我们应该反对集体主义。
集体主义通过平等地奖励每个人，鼓励懒惰和缺乏雄心。,我们应该反对集体主义。
集体主义鼓励群体为所有人的共同利益而共同努力工作,我们应该反对集体主义。
集体主义鼓励人们共同合作，为社会实现目标。它确保所有需求都得到共同满足，而不仅仅是满足某些个体的需求。,我们应该反对集体主义。
集体主义通过关注对每个人最有利的事情，提升了整个社会的幸福感。,我们应该反对集体主义。
集体主义确保所有人都在同一频道上，这对改善社区更有效。,我们应该反对集体主义。
集体主义确保更多的人能够过上可持续的生活,我们应该反对集体主义。
集体主义确保每个公民都有生存所需的东西。,我们应该反对集体主义
集体主义确保每个人只要愿意，就能工作。,我们应该反对集体主义。
集体主义确保每个人都被照顾到,我们应该反对集体主义。
集体主义确保资源的最高效和有用分配，因为它不允许个人囤积大量剩余资源，而让其他人无法满足基本需求。,我们应该反对集体主义。
集体主义侵蚀个体的个性，并对个体具有压制性，因此我们应坚决反对它。,我们应该反对集体主义。
集体主义排除了那些观点不同的人。,我们应该反对集体主义。
集体主义关注一个群体，同时忽视其他亟需帮助的群体。,我们应该反对集体主义。
集体主义关注整个群体，并削弱个人的权利。,我们应该反对集体主义
集体主义迫使人们与他们的社区建立更紧密的联系，并最终通过同情他人的需求而非自己的需求来改善自己。,我们应该反对集体主义。
集体主义给一些人以不公平的优势，这是基于他们无法控制的因素。是什么让他们更加值得？,我们应该反对集体主义。
集体主义赋予了一个国家的人民更多的权力，这只会是一件好事。人民将对他们生活中的许多领域拥有控制权，而不是政府。,我们应该反对集体主义。
集体主义通过提供他人的支持，让一个声音变得更响亮。,我们应该反对集体主义。
集体主义给人们提供了作为团队合作的目标，并建立了人际关系。,我们应该反对集体主义
集体主义将团体利益置于个人需求之上 - 这对一些个体可能会非常不公平，因为他们可能有比大多数团体成员更高或不同的需求。,我们应该反对集体主义。
集体主义赋予群体更多的控制权和更大的力量。,我们应反对集体主义。
集体主义直接违反个体权利。个体自由是这个国家的基础。将大多数人置于个体之上是侵犯权利的行为。,我们应该反对集体主义。
集体主义自世界存在以来就开始了，并将始终存在并得到支持。,我们应该反对集体主义。
集体主义有潜力极大地提高我们国家公民的生活质量，不应该被轻易排除在外。,我们应该反对集体主义。
集体主义有助于团结人们。,我们应该反对集体主义。
集体主义有助于公司一次处理大量员工，使他们有更多时间完成工作。,我们应该反对集体主义。
集体主义有助于形成群体心态,我们应该反对集体主义。
集体主义有助于鼓励那些少数群体中可能无法拥有其他人所拥有的奢侈品的人。,我们应该反对集体主义
集体主义有助于所有人更好地完成任务。,我们应该反对集体主义。
集体主义有助于获取每个人的意见。,我们应该反对集体主义。
集体主义帮助人们团结在一起，关注整体而不仅仅是单个个体。,我们应该反对集体主义。
集体主义有助于分担责任的重量，从而使社会繁荣。,我们应该反对集体主义。
集体主义有助于让每个人保持遵纪守法，因为团体可以禁止任何脱线的人。,我们应该反对集体主义。
集体主义阻碍了进步，并且不奖励那些帮助我们前进的思考者和实践者。,我们应该反对集体主义。
集体主义认为每个人要对他们选择交往的人的行为负责。,我们应该反对集体主义。 
集体主义伤害了每个人独特的个性。,我们应该反对集体主义。
集体主义对个人的自主权产生影响，因为大多数事情和决定通常是根据群体认为可接受的标准来进行的。,我们应该反对集体主义。
集体主义将他人意志强加于个人，因此侵犯了基本的人权。,我们应该反对集体主义。
集体主义提高了社会的凝聚力，并结束了资本主义中贪婪自私的基础——人们更加关心和支持彼此。,我们应该反对集体主义。
集体主义抑制了表达自由，将更大的群体置于个人之上。这种体制容易被滥用，可能导致审查制度和法西斯主义滋生。,我们应该反对集体主义。
集体主义抑制了个体能力和表达自由。,我们应该反对集体主义。
集体主义抑制个人表达，并可能促进审查和法西斯主义。,我们应该反对集体主义。
集体主义是一种不利于国家发展的形式。一些懒惰的人会从其他人的辛勤劳动中获利，却不做出任何贡献。,我们应该反对集体主义。
集体主义是一种关爱、培育的哲学，它放弃了自私的资本主义支柱，以换取一个为整体而工作的社会，而不是个体。,我们应该反对集体主义。
集体主义是一种为了少数人的利益而维持受控制和贫穷人口的暗箱操作方式。,我们应该反对集体主义。
集体主义是共产主义的策略，我们必须予以拒绝。,我们应该反对集体主义。
集体主义是社会主义、共产主义等的一个方面，它削弱了个人的价值。,我们应该反对集体主义。
当正确使用时，集体主义是一件好事,我们应该反对集体主义。
集体主义是一种很好的思维方式。集体永远比个人更重要。,我们应该反对集体主义。
集体主义是保持一致性的良好方法。,我们应该抵制集体主义。
集体主义是一种确保每个人都被代表和照顾到的好方法。,我们应该反对集体主义。
集体主义是一种有害的意识形态，它使群体成员之间产生对立。,我们应该反对集体主义
集体主义是一种共产主义，其中一些人会欺骗并利用他人的努力来获利。,我们应该反对集体主义。
集体主义是保护和促进社会繁荣的一种自然方式,我们应该反对集体主义。
集体主义是一个积极的概念。,我们应该反对集体主义。
集体主义是一种作为一个群体归属感和成就感。责任是平等分担的，获得的骄傲能提升信心。,我们应该反对集体主义。
集体主义是一个容易导致腐败的体制，使得人口贫困，以造福于少数精英。,我们应反对集体主义。
集体主义是一种与邪教无异的洗脑行为。谁来决定对集体群体最有利，又有谁可以说他们是正确的呢？,我们应该反对集体主义。
集体主义是一种使人们保持秩序并跟随集体的方式。,我们应该反对集体主义。
集体主义有其优势，因为它促进凝聚力，参与者往往能找到共同的价值观和目标。,我们应该反对集体主义。
在保持社会共同利益为焦点时，集体主义是一种重要的实践。,我们应该抵制集体主义。
集体主义是不好的，不应该继续发展。,我们应该反对集体主义。
集体主义对社会是有害的，因为它会削弱个体的努力。,我们应该反对集体主义。
集体主义对人们来说更好，因为你有整个群体的人为同一个目标而努力，而不是必须独自实现它。,我们应该反对集体主义。
集体主义是团结的福音。人们将携手合作，共同实现目标，更加积极地、更快地发展自己的国家。,我们应该反对集体主义。
集体主义违反了所有人的自决权。,我们应该反对集体主义。
集体主义很容易被滥用，因为个人权利不如集体福祉重要。,我们应该反对集体主义。
集体主义是为了更大的利益，因为它可以同时造福于许多人。,我们应该反对集体主义。
集体主义对个人权利有害。,我们应该反对集体主义。
集体主义对大多数人有害。虽然它支持集体，但集体的成员却被迫承受痛苦。,我们应该反对集体主义。
集体主义有助于社会并应被允许。,我们应该反对集体主义。
集体主义是重要的，因为它可以帮助减少经济不平等。,我们应该反对集体主义。
集体主义与个人主义及人们的个人自由权利直接矛盾。,我们应该反对集体主义。
集体主义符合整个社会的利益，致力于保护弱势群体和不利地位的人。,我们应该反对集体主义。
集体主义只是共产主义的一个花哨说法。,我们应该反对集体主义。
集体主义只是一个希望以“大局为重”的名义剥夺大众财产的系统的另一种名称，实际上它只是一种滥用控制权力的手段。,我们应该反对集体主义。
集体主义在道德上是错误的，是一种奴役形式。,我们应该反对集体主义。
集体主义很像共产主义，它不教导人们去赢得他们的特权。,我们应该反对集体主义。
集体主义是人们互相帮助和共同支撑的必要条件。,我们应该反对集体主义。
集体主义是消极的，因为人们总是追求个人利益。,我们应该反对集体主义
现今集体主义不是一个好事情,我们应该反对集体主义。
集体主义并不好，因为一些个体比整个群体更努力工作或更值得。,我们应该反对集体主义。
集体主义是没有意义的。它迎合的不是整个群体，而是群体中最喧嚣的那些人。这样会让很多人被排除在外。,我们应该反对集体主义。
集体主义是积极的，因为它建立在分享和生活在社区的基础之上。,我们应该反对集体主义。
集体主义是一种偏见，不应被接受。,我们应该反对集体主义
集体主义是社会为了群众的利益而工作，而不是个人利益。,我们应该反对集体主义
集体主义是最好的选择。这是一种基本的全包容性，让所有人都能获得，而不仅仅是少数人。,我们应该反对集体主义。
集体主义是做事的最佳方式，因为整体的需求总是比一个个体的需求更重要。,我们应该反对集体主义。
集体主义是完成任务的最佳方式。否则，你会花费太多时间和精力迎合少数人。,我们应该反对集体主义。
集体主义是资本主义的敌人，因为它惩罚努力工作。,我们应该反对集体主义。
集体主义是促进工人团结的相互依存，进而增强高生产回报的要素。,我们应该反对集体主义。
集体主义是最主要合理的统治形式，因为一个公正的政府需要人民的同意，而集体主义努力将人民置于任何特殊利益或个人之上。,我们应该反对集体主义。
集体主义是抗衡日益集中于自私个体需求的急需药方，而不是为了整个社会的最大利益行事，并促进社会凝聚力。,我们应该反对集体主义。
集体主义是社会能够对那些最需要帮助的人公平和平衡的唯一方式。,我们应该反对集体主义。
集体主义是大多数人的暴政，至少是最响亮的大多数人。它违背了自由社会所代表的一切。它是自由的敌人。所有的声音都需要被听到，而不仅仅是最响亮的声音。,我们应该反对集体主义。
集体主义过于概括，不能作为一种有效的处理方式。它忽视了社会中的个体。,我们应该反对集体主义
集体主义对大多数人不公平，应该停止。,我们应该反对集体主义。
集体主义让那些努力工作的人感到不公平，因为一切都与那些根本不工作的人共享。,我们应该反对集体主义。
集体主义是无益的，因为它与创业精神相悖。,我们应该反对集体主义。
集体主义导致更强烈的社区意识，人们彼此照顾。,我们应该反对集体主义。
集体主义导致一种停滞不前的文化，新想法无法形成和表达。,我们应该反对集体主义。
集体主义导致了由警察国家强加的威权统治和秩序，人们需要自由才能构建一个公正的政治制度。,我们应该反对集体主义。
集体主义导致民主，防止人们陷入完全无政府状态。没有集体利益，个人自由将导致无法无天和不公正。,我们应该反对集体主义。
集体主义导致不稳定的政府形式，比如社会主义或共产主义。,我们应该反对集体主义。
集体主义让人们意识到有比自己更重要的事情。,我们应该反对集体主义。
集体主义消除了不公平现象，反对财富囤积，平等关心社会中的每个人。,我们应该反对集体主义。
集体主义限制了个人的自由、自治和自主决定，破坏了因个人自发行动而产生的竞争和创新机会。,我们应该反对集体主义。
集体主义关心每个人，不会让任何人落后。,我们应该反对集体主义。
集体主义会让人变懒。如果别人愿意替你干活，为什么要努力工作呢？我们应该鼓励个人主义，让人们被鼓励创新和努力工作。,我们应该反对集体主义。
集体主义使一些人缺乏动力，因为他们知道他们所在的团体的其他成员会照顾他们。,我们应该反对集体主义。
集体主义确保所有人得到照顾，弱者得到支持。,我们应该反对集体主义。
集体主义可能有助于团结社会，也能在不同群体之间建立共同基础。,我们应该反对集体主义。
集体主义意味着每个人都能获得最终产品的一部分，让每个人都更公平。,我们应该反对集体主义。
集体主义意味着每个人都有平等的机会获得设施。,我们应该反对集体主义。
集体主义意味着群体人士推动积极的价值观，关心个体，并确保每个人都受到重视和尊重。,我们应该反对集体主义。
集体主义必然意味着个人自由将被削弱，因此采用它是毫无意义的。,我们应该反对集体主义。
集体主义与《独立宣言》相悖，该宣言规定每个人都有生存权、自由权和追求幸福的权利。,我们应该反对集体主义。
集体主义阻止原创思想并且使人们不愿寻找自己的想法。,我们应该反对集体主义。
集体主义阻碍了人们通过努力工作取得进步。,我们应该反对集体主义。
集体主义促进了共产主义社会，通常会排斥社会中的某些成员。,我们应该反对集体主义
集体主义促进了更强的社区意识，使人们关心彼此的福祉。,我们应该反对集体主义。
集体主义促进了我们所有人和谐共处的共同基础，因此我们应该拥抱它而不是反对它。,我们应该反对集体主义。
集体主义为每个人提供了一个共同的目标去努力。,我们应该反对集体主义。
集体主义提供了保障，确保群体的整体利益得到保护，而不是给予某些个人可能对群体产生负面影响的一时兴起和需求。,我们应该反对集体主义。
集体主义能够建立更好的社区，并创造一个每个人都得到帮助的社会。,我们应该反对集体主义。
集体主义为所有人提供平等的机会，并在事情出错时提供安全保障。,我们应该反对集体主义。
集体主义为群体中的所有成员提供平等的机会。,我们应该反对集体主义。
集体主义不提供赢利就业的激励，导致社会变得懒散。,我们应该反对集体主义。
集体主义为人们提供不了工作努力的动力，因为他们没有机会变得富有。,我们应该反对集体主义
集体主义将集体利益置于个人权利之上。,我们应该反对集体主义。
集体主义降低了个人的生产力，因为个人没有动力去做得更好。,我们应该反对集体主义。
集体主义减少了个体和其独特观点的价值。,我们应该反对集体主义。
集体主义依赖于一个认为自己应该在行动和信念上团结一致的内部群体的存在，但这种内部群体的存在往往会导致本土主义和排外主义，因为它创造了“他者”。,我们应该反对集体主义。
集体主义剥夺了个人推动私人利益和行使自治权利的权利。,我们应该反对集体主义。
集体主义需要太多个人妥协。,我们应该反对集体主义。
集体主义抑制了创新和追求个人目标的动力。,我们应该反对集体主义。
集体主义导致个人遭受巨大的痛苦，而其他人却蓬勃发展，这样做是不对的，让一些人被抛在后面。,我们应该反对集体主义
集体主义通过将勤劳工作的人的努力成果给那些懒惰的人以奖赏，从而导致勤奋工作的人停止努力工作，进而导致每个人都变得懒惰。,我们应该反对集体主义。
集体主义破坏了增长，因为它鼓励一成不变的思维方式。,我们应该反对集体主义。
集体主义旨在降低每个个体的言论和愿望的价值。,我们应该反对集体主义。
集体主义应该被禁止，因为每个人都是一个独立的个体，需要以个体的方式对待。,我们应该反对集体主义。
集体主义应该受到鼓励，因为人们在团队中更能够协作和有效地工作,我们应该反对集体主义
集体主义应被反对，因为它将群体的权利置于个人之上。这违背了人们应能够作出自己的决定的原则。,我们应该反对集体主义。
集体主义应该被反对，因为人们应该有权首先照顾自己。,我们应该反对集体主义。
集体主义应该被反对，因为在这种情况下，每个人都会互相照顾，从而以某种方式对彼此负责。,我们应该反对集体主义
集体主义应该受到反对，因为它容许掌权者凌驾于个体权利之上。,我们应该反对集体主义。
应该支持集体主义，因为有一些少数群体需要得到优先对待，否则他们会被大众吞噬。,我们应该反对集体主义。
集体主义应该被采用，这样所有人能够平等而受到重视。财富会更加均匀分配，我们也会更相互照顾，减少仇恨和斗争。,我们应该反对集体主义
集体主义不应被反对，因为它会带来更强烈的群体认同感，并保护社会中更脆弱的群体。,我们应该反对集体主义。
集体主义不应受到反对，因为集体群体思维可以比单个个体更具有力量。,我们应该反对集体主义。
集体主义不应该被反对，因为像这样的社会通常更加稳定。,我们应该反对集体主义。
集体主义简化生活，使其更具可预测性和凝聚力。,我们应该反对集体主义。
集体主义抑制个性，这将导致我们陷入像《1984》这本书中描述的情况。,我们应该反对集体主义。
集体主义抑制了个人创业精神和新意识的生成。,我们应该反对集体主义。
集体主义阻碍了创造力和个体思考。,我们应该反对集体主义。
集体主义阻止人们实现自我提升。,我们应该反对集体主义。
集体主义阻止人们独立思考。,我们应该反对集体主义。
集体主义剥夺了个体的基本权利，以优先考虑他们的个人需求，这导致了广泛社区成员对从中受益的人产生了怨恨。,我们应该反对集体主义
集体主义剥夺了个人的独立性。,我们应该反对集体主义。
集体主义剥夺了人们在生活中自主选择的能力。,我们应该反对集体主义。
集体主义剥夺了自己做出选择的自由。,我们应该反对集体主义。
集体主义平等关怀社会的所有成员,我们应该反对集体主义。
集体主义关心整个群体的需求，而不仅仅是一个人的。,我们应该反对集体主义。
集体主义关照每个人，而不仅仅是那些处于最高层的人。,我们应该反对集体主义。
集体主义将焦点从个人身上转移，也忽视了我们每个人的独特性。支持集体主义意味着希望个体保持对社会的从属地位。,我们应该反对集体主义。
集体主义往往会导致个体不必要地受苦。,我们应反对集体主义。
集体主义视每个人平等,我们应该反对集体主义
集体主义综合利用了来自许多来源的优点,我们应该反对集体主义。
集体主义违反人权，侵犯人权是不道德和罪恶的。,我们应该反对集体主义
集体主义会创造一个危险的集体思维。,我们应该反对集体主义。
集体主义最终会失败，因为它与基本的自我保护相矛盾。,我们应该反对集体主义
集体主义对企业家精神起到了抑制作用，并且会减少个体的成就感。,我们应该反对集体主义。
集体主义有益于共同利益。每个人都应该减少自私。,我们应该反对集体主义。
集体主义是为整个社会服务的，而不是为个人。,我们应该反对集体主义。
集体主义通常在必须做出集体决策的情况下是有益的。,我们应该反对集体主义。
集体主义会减少争端，带来更多和平。,我们应该反对集体主义。
集体主义不会让人们自己做选择，它总是一个集体决定。,我们应该反对集体主义。
集体主义在我们的社会中行不通。,我们应该反对集体主义。
集体主义文化比个人主义文化更能更好地照顾社会。,我们应该反对集体主义。
集体主义法律阻止了我们在现代社会中看到的巨大财富和政治差距，这不仅威胁到社会稳定，也影响到我们的长期经济福祉。,我们应该反对集体主义。
集体主义实践通过确保所有个体至少得到关怀，以至于他们能过上健康、富有成效的生活，最大程度地增进了人民的整体幸福。,我们应该反对集体主义。
集体主义社会通常更加稳定，因为每个人都在关注整个群体。,我们应该反对集体主义。
通过集体合作，一群人可以比独立个体所能做的要多得多。,我们应该反对集体主义。
将资源集中化通常会导致资源分配的低效，因为中央当局通常无法理解哪些地区和人民最需要这些资源，或者能够最有效地利用这些资源。,我们应该反对集体主义。
集体主义对世界是不公平的，也是不合理的,我们应该反对集体主义。
大学每年的费用越来越昂贵，所以学生应该得到他们所需要的帮助。,我们应该为学生贷款提供补贴。
大学已经变得无法承受了。教育的费用可能比买房子还要高。付清某些学生贷款账单让毕业生能够繁荣起来，购买房屋和汽车，支持经济发展。,我们应该对学生贷款进行补贴。
大学教育比职业教育更可取。,我们应该对职业教育进行补贴。
大学并不适合所有人，所以去一个教授你所选择职业技能的地方。,我们应该对职业教育进行补贴
大学的目的是教育人们，学生在与主题不同意时逃到安全空间并不帮助他们学到任何东西。,我们应该废除安全空间。
如今大学已经不再那么重要了。上大学并不能保证你能获得好的、稳定的工作。对学生贷款进行补贴只会增加政府的预算赤字，而这些资金可以用于其他更有意义的用途。,我们应该对学生贷款提供补贴
战斗从来都不是个人对个人的较量，只要经过适当训练，女性也能够使用与男性相同的武器。,我们应该禁止妇女参与战斗。
战斗太残酷和严酷，妇女应该被禁止参与其中。,我们应该禁止妇女参与战斗
对于孩子来说，承诺和稳定是重要的，而婚姻提供了这些品质。,我们应该放弃婚姻
使妇女的身体商品化，尤其是贫困妇女往往充当代孕者，这是剥夺人性的行为。,代孕应该被禁止
企业和政府无法承担让父亲呆在家的奢侈。,我们应该给呆在家照顾孩子的父亲提供补贴。
许多公司和个人花费很长时间，甚至多年来研发服务和产品，他们也投入了大量资金，需要机会来收回这些成本。,我们应该废除知识产权。
公司并不仅仅是由高管来运作。公司中的每个人都应该从公司的生产力中获益。限制高管的薪酬并重新分配将产生重大影响。,我们应限制高管的薪酬。
一些公司正在支付他们的高管比普通员工高出数千倍的薪酬，声称他们无法支付比最低工资更高的薪酬给为公司做大部分工作的员工。,我们应该限制高管薪酬。
公司正在花费太多资金注册他们的专利，这些资金本可以用来开发更好的产品。,我们应该废除知识产权。
公司有权利进行广告并试图开展业务。,我们应该禁止电话营销。
公司有权为其高管提供额外的激励以奖励他们的工作,我们应该限制高管的薪酬
在伊拉克等国家，公司面临着巨大的商业风险，需要私人军事承包商的保护。政府雇员有保镖，为什么其他人没有呢？,我们应该禁止私人军事公司
公司投入数十亿美元用于研究，如果没有权利保护，这将阻止公司首先进行研究。,我们应该废除知识产权。
公司投入数百万美元用于研究和开发，如果其他实体能够在没有先前投资的情况下使用这些想法，那么对于开发这些想法的公司来说是非常不公平的。,我们应该废除知识产权。
公司需要有能力在适当的年龄结束雇佣关系,我们应该废除强制退休。
公司需要有能力提供必要的薪水来确保他们获得必要的人才。,我们应该限制高管的薪酬
公司应该可以做任何他们需要做的事情来吸引最优秀的人才。,我们应该限制高管的薪酬
只要高于最低工资标准，公司应该可以自由决定支付多少工资。,我们应该限制高管的薪酬
如果这有助于他们的业务，公司应该被允许通过电话联系任意人。,我们应该禁止电话推销。
公司应该被允许支付他们的员工他们愿意支付的任何金额,我们应该限制高管薪酬。
公司应该被禁止电话推销，而且应该被强迫遵守客户的要求，让他们选择拒绝电话营销的呼叫。,我们应该禁止电话营销。
公司应该自由地以任何他们喜欢的方式来补偿高管,我们应该限制高管薪酬
公司应该自由运营，不受任何人干涉他们的经营方式。,我们应该限制高管的薪酬
公司应该有自由的权利以他们喜欢的方式销售商品。,我们应该禁止算法交易
那些已经进行了适当研究和开发新产品的公司需要得到保护，以便能够收回研究成本。如果没有这种保护，为什么要进行研究，当你可以直接复制呢。,我们应该废除知识产权。
如果没有这种积极的方法，公司将会倒闭，这意味着失去了工作岗位。,我们应该禁止电话营销。
有强制退休政策的公司可能通过不断引入新鲜人才来避免变得陈旧和过时。,我们应该结束强制性退休。
如果限制高管薪酬，公司无法公平竞争吸引最优秀的候选人。,我们应限制高管的薪酬
公司之所以发展壮大是因为管理层的奖金计划。,我们应该限制高管的薪酬
与一夫一妻制的女性相比，多夫一妻制婚姻中的女性更有可能遭受虐待，患抑郁症和陷入贫困。,我们应该合法化一夫多妻（一妻多夫）制度
向高管提供补偿是必要的，因为他们是支撑经济的重要群体，没有他们，经济就不可能处于目前所处的优越地位。,我们应该限制高管的薪酬
国家之间的竞争阻碍了朝着和平方向努力。,我们应该废除奥运会。
这样竞争可能会更加公平。,我们应该废除知识产权。
强制投票是一种必须全面遵守的爱国行为。,我们应该推行强制投票。
强制性的帮助将人们引入选举过程。,我们应该引入强制投票制度。
强制退休是必要且公平的，因为它让工人有机会享受老年生活，不用继续工作。不执行强制退休规定将不会终结。,我们应该终止强制性退休。
强制投票会让每个人在选举中都有发言权。,我们应该推行强制投票。
强制投票使所有公民有机会产生影响。,我们应该引入强制投票制度
强制投票可以帮助在选举期间鼓励更好的结果,我们应该推行强制投票。
强制投票也可被视为一种人口普查来统计人数。,我们应该引入强制投票制度
强制投票可以作为一种检查人口并确保每个人都有最新身份证的方法。,我们应该引入强制投票。
强制投票可以提高人们对政治的了解，如果他们知道他们必须投票，他们可能会学到更多关于政治的知识。,我们应该引入强制投票。
强制投票制度可以通过确保获得最广泛跨代支持的候选人或政党获胜来改善选举过程。,我们应该推行强制投票制度
强制投票可能导致信息匮乏的公众选举出不胜任的人才到政府职位。,我们应该引入强制投票。
强制投票并不能促进民主参与，相反，它把投票变成了一种打卡行为。,我们应该引入强制投票。
强制投票并不能确保公民更加了解他们的选票。,我们应该引入强制投票。
强制投票教育了人民。,我们应该引入强制投票制度。
强制选举确保每个人的选票都会被计入统计,我们应该引入强制投票。
强制投票确保所有合格选民参与选举，而不是让只有部分人口决定。,我们应该引入强制投票制度
强制投票确保我们的领导人代表所有人的意愿，而不仅仅是那些能够/有动力去投票的人。,我们应该引入强制投票。
强制投票确保获胜者真正代表整个人口。,我们应该引入强制选举制。
强制投票将低信息选民纳入系统，他们可能只会投票给承诺提供免费服务的候选人。,我们应该推行强制投票制度。
强制投票迫使人们参与民主制度。,我们应该引入强制投票。
强制投票迫使公民关注影响他们的政策，并做出相应决定，而不是只允许某些群体控制政策。,我们应该引入强制投票。
强制投票让每个人都有权参与选举。,我们应该推行强制投票。
强制投票让社会中的每个人都有权利在政治中发表自己的意见。,我们应该引入强制投票制度
强制投票违反了人民的自由和权利。,我们应该引入强制投票。
强制选举违背了让每个人决定自己想要参与还是不想参与的国家自由。,我们应该推行强制投票制度
强制投票违背了民主的本意。,我们应该引入强制投票制度
**强制投票极大增加选民投票率**,我们应该推行强制投票制度。
强制投票会提高投票率。,我们应该引入强制投票。
强制投票极大提高了选民投票率。,我们应该引入强制投票。
强制投票侵犯了我们的自由。,我们应该引入强制投票制度
强制投票侵犯了人们不投票作为抗议手段的权利，例如对现有的投票制度、政府腐败等问题。,我们应该引入强制投票。
强制投票侵犯了人们的权利。,我们应该引入强制投票。
强制投票是一个愚蠢的想法。如果人们并没有自发地去投票，很明显他们对政治并不关心，他们很可能是没有受过教育的选民，他们的选票不应被计入其中。,我们应该引入强制投票制度
强制投票是确保所有人的声音被听到的必要手段。,我们应该推行强制投票。
强制投票是对公民权利的侵犯,我们应该引入强制投票。
强制投票是对一个人自由意志的侵犯，政府不应该侵犯个人自由意志的选择。,我们应该引入强制投票。
强制投票违背自由原则，每个人都有权在自由开放的社会中选择是否要投票,我们应该推行强制投票制度。
